snapshot_id,run_id,symbol,event_archetype,training_cutoff,training_event_ids,training_sample_count,status,feature_names,feature_means,feature_scales,classifier_coefficients,classifier_intercept,ridge_coefficients,ridge_intercept,hyperparameters,validation_metrics,created_at
c11e1cb5-6378-49ed-b569-f7f760bef5d0,a9666b11-b6b5-499a-8faf-4b9fe03fec62,USO,military_escalation+energy_beneficiary,2024-04-07 23:00:00+00:00,[],0,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:09:24.215239+00:00
88e353af-75d5-4544-adc0-22b9e9197e2d,a9666b11-b6b5-499a-8faf-4b9fe03fec62,USO,military_escalation+energy_beneficiary,2024-04-30 12:00:00.000001+00:00,"[""10084""]",1,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:06:53.779751+00:00
c0c7b9fd-9f97-4e86-98b5-c56417f9a847,a9666b11-b6b5-499a-8faf-4b9fe03fec62,LMT,military_escalation+defense_beneficiary,2024-05-30 18:00:00+00:00,[],0,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:09:24.301937+00:00
ed1ec3e8-b8c1-4e31-87e4-eb6145983a67,a9666b11-b6b5-499a-8faf-4b9fe03fec62,RTX,military_escalation+defense_beneficiary,2024-05-30 18:00:00+00:00,[],0,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:09:24.367458+00:00
a96531e6-1f9b-41f7-bfc7-fa8f878befd5,a9666b11-b6b5-499a-8faf-4b9fe03fec62,RTX,military_escalation+defense_beneficiary,2024-06-30 12:00:00.000001+00:00,"[""10818"", ""10818""]",2,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:06:53.839585+00:00
218322e3-5da1-4539-9b09-14adeea1efde,a9666b11-b6b5-499a-8faf-4b9fe03fec62,LMT,military_escalation+defense_beneficiary,2024-06-30 12:00:00.000001+00:00,"[""10818"", ""10818""]",2,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:06:53.813609+00:00
22e124d8-f4f0-428b-b1cd-43c41aa4462b,a9666b11-b6b5-499a-8faf-4b9fe03fec62,USO,military_escalation+energy_beneficiary,2024-08-01 19:00:00+00:00,"[""10084""]",1,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:09:24.441247+00:00
715122fc-fc39-4536-b30b-cc00b53c2895,a9666b11-b6b5-499a-8faf-4b9fe03fec62,USO,military_escalation+energy_beneficiary,2024-08-31 12:00:00.000001+00:00,"[""10084"", ""11804""]",2,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:06:53.870043+00:00
22d4278e-2c47-41d6-9c35-9faa3b3a5d91,a9666b11-b6b5-499a-8faf-4b9fe03fec62,LMT,military_escalation+defense_beneficiary,2024-09-10 04:00:00+00:00,"[""10818"", ""10818""]",2,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:09:24.541315+00:00
1461d2c4-97f3-468f-8166-7c0049f8bcac,a9666b11-b6b5-499a-8faf-4b9fe03fec62,USO,military_escalation+energy_beneficiary,2024-09-23 21:00:00+00:00,"[""10084"", ""11804""]",2,insufficient_history,"[""asset_ytd_change"", ""sector_one_month_trend"", ""spy_two_week_trend"", ""asset_two_week_trend"", ""polymarket_probability_at_trigger"", ""polymarket_probability_slope_24h"", ""polymarket_time_to_resolution_days"", ""polymarket_crossing_latency_days"", ""polymarket_pre_entry_volume_log"", ""polymarket_probability_volatility"", ""query_runup_since_creation"", ""query_elapsed_fraction_at_crossing""]",{},{},null,,null,,{},{},2026-06-25 14:09:24.653161+00:00
